show logs	2021-11-02 00:03:18.636513
clear fileident	2021-11-02 00:03:29.578529
pause	2021-11-02 00:03:40.927660
port is listened	2021-11-02 00:03:44.007687
server was turned off	2021-11-02 00:05:58.727053
server is starting	2021-11-02 00:09:19.386529
port is listened	2021-11-02 00:09:19.390648
server was turned off	2021-11-02 00:09:21.140247
